ID,seconds,iterations
0,2.94339,33554432
1,2.74197,33554432
2,2.81755,33554432
3,2.95155,33554432
4,2.36648,33554432
5,2.55003,33554432
6,2.90409,33554432
7,3.09063,33554432
8,3.10531,33554432
9,2.89109,33554432
10,2.68983,33554432
11,2.97561,33554432
12,2.83679,33554432
13,2.70728,33554432
14,2.72596,33554432
15,2.75315,33554432
16,2.68761,33554432
17,2.67951,33554432
18,3.00892,33554432
19,2.71777,33554432
20,2.79227,33554432
21,3.18402,33554432
22,3.03002,33554432
23,2.58936,33554432
24,2.66262,33554432
25,2.7877,33554432
26,2.93891,33554432
27,2.72323,33554432
28,2.54337,33554432
29,3.26776,33554432
30,2.74927,33554432
31,2.74319,33554432
32,2.59571,33554432
33,2.83939,33554432
34,2.6997,33554432
35,2.77784,33554432
36,2.7982,33554432
37,2.64641,33554432
38,2.80355,33554432
39,2.85108,33554432
40,3.05644,33554432
41,3.0633,33554432
42,3.28797,33554432
43,3.03644,33554432
44,2.73403,33554432
45,4.13108,33554432
46,3.06055,33554432
47,3.11571,33554432
48,2.9214,33554432
49,3.24552,33554432
50,3.13127,33554432
51,3.13776,33554432
52,2.80543,33554432
53,3.17118,33554432
54,2.98475,33554432
55,2.75418,33554432
56,2.93306,33554432
57,2.96726,33554432
58,2.95925,33554432
59,4.9293,33554432
60,4.68039,33554432
61,4.8857,33554432
62,4.59832,33554432
63,5.62851,33554432
64,5.17852,33554432
65,5.13322,33554432
66,4.71985,33554432
67,4.80408,33554432
68,5.19038,33554432
69,4.94352,33554432
70,4.63472,33554432
71,4.33551,33554432
72,5.02433,33554432
73,4.88517,33554432
74,4.91521,33554432
75,4.85555,33554432
76,4.73067,33554432
77,4.76943,33554432
78,4.81409,33554432
79,4.49423,33554432
80,4.57546,33554432
81,4.38163,33554432
82,3.09845,33554432
83,3.35543,33554432
84,3.01168,33554432
85,2.85969,33554432
86,3.16001,33554432
87,3.0202,33554432
88,3.14846,33554432
89,3.44938,33554432
90,3.1924,33554432
91,3.0936,33554432
92,3.27188,33554432
93,3.02916,33554432
94,3.17976,33554432
95,3.77161,33554432
96,3.16215,33554432
97,3.33233,33554432
98,2.86869,33554432
99,3.10009,33554432
100,2.98418,33554432
101,3.03956,33554432
102,3.33433,33554432
103,3.05401,33554432
104,3.57253,33554432
105,3.65352,33554432
106,3.38188,33554432
107,3.42851,33554432
108,4.62096,33554432
109,3.44983,33554432
110,3.68393,33554432
111,3.73734,33554432
112,3.95193,33554432
113,2.9222,33554432
114,2.68147,33554432
115,2.5449,33554432
116,2.52445,33554432
117,2.67655,33554432
118,2.67743,33554432
119,2.50924,33554432
120,2.47131,33554432
121,2.60525,33554432
122,2.63575,33554432
123,2.69987,33554432
124,2.64606,33554432
125,2.6684,33554432
126,2.5793,33554432
127,2.57456,33554432
128,2.92607,33554432
129,3.24448,33554432
130,2.6084,33554432
131,2.53697,33554432
132,2.35825,33554432
133,2.59821,33554432
134,2.83049,33554432
b135,3.08308,33554432
136,2.88668,33554432
137,2.90454,33554432
138,2.5787,33554432
139,2.61623,33554432
140,2.57867,33554432
141,2.69361,33554432
142,2.48414,33554432
143,2.70754,33554432
144,2.87294,33554432
145,2.80646,33554432
146,3.13223,33554432
147,3.40485,33554432
148,3.15016,33554432
149,2.96578,33554432
150,3.13406,33554432
151,3.4927,33554432
152,3.56965,33554432
153,3.63301,33554432
154,3.14373,33554432
155,3.53049,33554432
156,3.23227,33554432
157,3.12561,33554432
158,3.17815,33554432
159,3.17818,33554432
160,3.25535,33554432
161,3.34505,33554432
162,3.6451,33554432
163,3.15696,33554432
164,3.12528,33554432
165,3.31515,33554432
166,3.10253,33554432
167,3.1482,33554432
168,3.56669,33554432
169,3.41335,33554432
170,3.31341,33554432
171,3.38684,33554432
172,3.24428,33554432
173,3.44366,33554432
174,3.17647,33554432
175,3.16441,33554432
176,2.693,33554432
177,2.7588,33554432
178,2.90126,33554432
179,2.93601,33554432
180,2.91713,33554432
181,3.00656,33554432
