source_file,bytes,seconds,packets,bytePerPacket,bytePerSec,packetPerSec
Timestamp,7271856,0.329156,1482650,4.90463,22092500.0,4504400.0
Commit,12304848,0.331564,1048579,11.7348,37111500.0,3162520.0
CancelFormat1,12309456,0.343507,1048581,11.7392,35834700.0,3052580.0
Mispredict,1118496,0.144894,1048590,1.06667,7719390.0,7236930.0
ShortAddress,2795632,0.16856,1048583,2.6661,16585400.0,6220840.0
Q,12697552,0.472212,1357773,9.35175,26889500.0,2875340.0
ConditionalInstructionFormat3,2236976,0.151932,1048589,2.13332,14723600.0,6901720.0
ConditionalInstructionFormat2,1118496,0.148931,1048590,1.06667,7510160.0,7040770.0
Context,3912064,0.198586,1048582,3.73081,19699600.0,5280240.0
ConditionalInstructionFormat1,12308400,0.341505,1048582,11.7381,36041700.0,3070480.0
ConditionalResultFormat1,17900192,1.0647,5619205,3.18554,16812500.0,5277760.0
BranchFutureFlush,2236976,0.162647,1048589,2.13332,13753600.0,6447020.0
CycleCountFormat1,13423056,0.50955,2055440,6.5305,26343000.0,4033830.0
Overflow,2236976,0.155129,1048589,2.13332,14420100.0,6759460.0
UnnumberedDataSynchronizationMark,1118496,0.108394,763000,1.46592,10318800.0,7039150.0
NumberedDataSynchronizationMark,1118496,0.142852,1048590,1.06667,7829770.0,7340410.0
ASync,13421776,0.358341,1048579,12.8,37455300.0,2926210.0
ConditionalResultFormat3,2236976,0.150795,1048589,2.13332,14834500.0,6953730.0
TimestampMarker,1118496,0.146087,1048590,1.06667,7656370.0,7177850.0
Ignore,1118496,0.132908,1048590,1.06667,8415560.0,7889580.0
Discard,2236976,0.151604,1048589,2.13332,14755400.0,6916640.0
CycleCountFormat2,2236976,0.150734,1048589,2.13332,14840500.0,6956530.0
ExceptionReturn,1118496,0.144425,1048590,1.06667,7744500.0,7260470.0
ExactMatchAddress,1118496,0.149082,1048590,1.06667,7502560.0,7033650.0
FunctionReturn,1118496,0.145274,1048590,1.06667,7699200.0,7218000.0
TraceInfo,24598976,0.627324,1048590,23.4591,39212600.0,1671530.0
TraceOn,1118496,0.143082,1048590,1.06667,7817190.0,7328610.0
Exception,5778448,0.321897,1702816,3.39347,17951200.0,5289930.0
LongAddress,5030080,0.261905,1311659,3.8349,19205700.0,5008140.0
AtomFormatX,1118496,0.151617,1048590,1.06667,7377120.0,6916050.0
Event,1118496,0.149705,1048590,1.06667,7471320.0,7004370.0
ConditionalResultFormat2,1118496,0.139336,1048590,1.06667,8027350.0,7525640.0
CancelFormat2,1118496,0.144426,1048590,1.06667,7744420.0,7260390.0
ConditionalResultFormat4,1118496,0.148483,1048590,1.06667,7532820.0,7062020.0
CycleCountFormat3,1118496,0.143336,1048590,1.06667,7803320.0,7315610.0
CancelFormat3,1118496,0.137283,1048590,1.06667,8147390.0,7638170.0
AddressWithContext,13422720,0.701931,3081299,4.35619,19122600.0,4389740.0
ConditionalFlush,1118496,0.13295,1048590,1.06667,8412920.0,7887120.0
Resynchronization,1118496,0.135478,1048590,1.06667,8255910.0,7739920.0
