packet,bytes,seconds,packets,bytePerPacket,bytePerSec,packetPerSec
ASync,13421776,0.17431,1048579,12.8,7.69995e+07,6.0156e+06
AddressWithContext,13418816,0.36435,3005639,4.46455,3.68295e+07,8.24931e+06
AtomFormatX,1118496,0.0806129,1048590,1.06667,1.38749e+07,1.30077e+07
BranchFutureFlush,2236976,0.0748712,1048589,2.13332,2.98777e+07,1.40052e+07
CancelFormat1,12299232,0.285276,1048591,11.7293,4.31135e+07,3.67571e+06
CancelFormat2,1118496,0.0726625,1048590,1.06667,1.5393e+07,1.4431e+07
CancelFormat3,1118496,0.0694533,1048590,1.06667,1.61043e+07,1.50978e+07
Commit,12306064,0.294791,1048583,11.7359,4.17451e+07,3.55704e+06
ConditionalFlush,1118496,0.0697414,1048590,1.06667,1.60378e+07,1.50354e+07
ConditionalInstructionFormat1,12303328,0.300976,1048577,11.7334,4.0878e+07,3.48392e+06
ConditionalInstructionFormat2,1118496,0.0716099,1048590,1.06667,1.56193e+07,1.46431e+07
ConditionalInstructionFormat3,2236976,0.08374,1048589,2.13332,2.67134e+07,1.2522e+07
ConditionalResultFormat1,17893920,0.865265,6629804,2.69901,2.06803e+07,7.66216e+06
ConditionalResultFormat2,1118496,0.0695453,1048590,1.06667,1.6083e+07,1.50778e+07
ConditionalResultFormat3,2236976,0.0809094,1048589,2.13332,2.76479e+07,1.296e+07
ConditionalResultFormat4,1118496,0.0718157,1048590,1.06667,1.55745e+07,1.46011e+07
Context,3915136,0.100543,1048590,3.73371,3.89399e+07,1.04293e+07
CycleCountFormat1,13425584,0.478942,3803268,3.53001,2.80317e+07,7.94097e+06
CycleCountFormat2,2236976,0.0764961,1048589,2.13332,2.9243e+07,1.37077e+07
CycleCountFormat3,1118496,0.0683351,1048590,1.06667,1.63678e+07,1.53448e+07
Discard,2236976,0.0745095,1048589,2.13332,3.00227e+07,1.40732e+07
Event,1118496,0.0769316,1048590,1.06667,1.45388e+07,1.36302e+07
ExactMatchAddress,1118496,0.066758,1048590,1.06667,1.67545e+07,1.57073e+07
Exception,5778160,0.17636,1570208,3.67987,3.27634e+07,8.90343e+06
ExceptionReturn,1118496,0.0572994,1048590,1.06667,1.95202e+07,1.83002e+07
FunctionReturn,1118496,0.0591492,1048590,1.06667,1.89097e+07,1.77279e+07
Ignore,1118496,0.0676259,1048590,1.06667,1.65395e+07,1.55057e+07
LongAddress,5035200,0.140767,1318652,3.81844,3.57698e+07,9.36763e+06
Mispredict,1118496,0.0710785,1048590,1.06667,1.57361e+07,1.47526e+07
NumberedDataSynchronizationMark,1118496,0.0701818,1048590,1.06667,1.59371e+07,1.49411e+07
Overflow,2236976,0.070583,1048589,2.13332,3.16929e+07,1.48561e+07
Q,12684752,0.347154,1357591,9.34357,3.65393e+07,3.91063e+06
Resynchronization,1118496,0.0657286,1048590,1.06667,1.70169e+07,1.59533e+07
ShortAddress,2796864,0.0893044,1048582,2.66728,3.13183e+07,1.17417e+07
Timestamp,7268688,0.148318,1048591,6.93186,4.90074e+07,7.06988e+06
TimestampMarker,1118496,0.0601067,1048590,1.06667,1.86085e+07,1.74455e+07
TraceInfo,24615424,0.617665,1048586,23.4749,3.98524e+07,1.69766e+06
TraceOn,1118496,0.0584118,1048590,1.06667,1.91485e+07,1.79517e+07
UnnumberedDataSynchronizationMark,1118496,0.0663811,762809,1.46629,1.68496e+07,1.14914e+07
